airport,Latitude,Longitude
ESC,45.723199,-87.088623
EUG,44.124599,-123.211998
FLG,35.139757,-111.669826
FWA,40.978896,-85.194465
GCC,44.3489,-105.539001
GFK,47.949299,-97.176102
GTF,47.481998,-111.371002
HIB,47.384831,-92.836905
HLN,46.6068,-111.983002
HYS,38.844521,-99.273148
IDA,43.514599,-112.070999
IMT,45.81911,-88.114557
INL,48.56620026,-93.40309906
ITH,42.49100113,-76.45839691
JMS,46.92969894,-98.67819977
LAR,41.31209946,-105.6750031
LSE,43.879002,-91.256699
LWS,46.37450027,-117.0149994
MFR,42.374199,-122.873001
MKG,43.169498,-86.238197
MMH,37.625381,-118.84306
MOT,48.25801,-101.279123
MQT,46.351498,-87.395884
MRY,36.586777,-121.844183
OTH,43.417099,-124.2460022
PAH,37.06079865,-88.77380371
PIH,42.90980148,-112.5960007
PLN,45.57089996,-84.79669952
RDD,40.50899887,-122.2929993
RDM,44.254101,-121.150002
RHI,45.63119888,-89.46749878
RKS,41.5942,-109.065001
SBA,34.426201,-119.839996
SBP,35.23680115,-120.6419983
SGU,37.036389,-113.510306
SMX,34.898899,-120.457001
SUN,43.50439835,-114.2959976
TWF,42.4818,-114.487999
YUM,32.650938,-114.609375
GUM,13.485,144.797282
ISP,40.796324,-73.101703
GGG,32.38399887,-94.71150208
SJT,31.35770035,-100.4960022
SPS,33.9888,-98.491898
ACK,41.25310135,-70.06020355
HYA,41.6693,-70.280403
MVY,41.39310074,-70.61430359
BFF,41.87400055,-103.5960007
WYS,44.6884,-111.117996
AKN,58.677845,-156.651965
DLG,59.04470062,-158.5050049
GST,58.4253006,-135.7070007
ABI,32.41130066,-99.68190002
GCK,37.92750168,-100.723999
MHK,39.14099884,-96.67079926
GRI,40.96749878,-98.30960083
EFD,29.6072998,-95.15879822
PGD,26.9202,-81.990501
SPN,15.119384,145.728848
ENV,40.71870041,-114.0309982
TKI,55.937099,-133.326996
IFP,35.154726,-114.559322
STS,38.50899887,-122.8130035
COU,38.8181,-92.219597
ALO,42.55709839,-92.40029907
TOL,41.5868,-83.8078
SUX,42.397605,-96.382237
CKB,39.2966,-80.228104
FNL,40.44969,-105.011272
CGI,37.2253,-89.570801
PUB,38.289101,-104.497002
SWO,36.162132,-97.085581
UIN,39.942699,-91.194603
ROP,14.173267,145.241103
CMI,40.039819,-88.276249
DIK,46.797533,-102.801905
JHM,20.9629,-156.673004
LNY,20.785675,-156.951324
MKK,21.152901,-157.095993
AZA,33.3078,-111.654999
BLV,38.5452,-89.835197
HGR,39.708771,-77.728014
HTS,38.366699,-82.557999
LCK,39.813801,-82.927803
OGD,41.19589996,-112.012001
OGS,44.6819,-75.4655
OWB,37.74010086,-87.16680145
PIE,27.9102,-82.687401
PSM,43.0779,-70.823303
PVU,40.218894,-111.722445
RFD,42.1954,-89.097198
SCK,37.893279,-121.238079
SFB,28.774277,-81.234626
STC,45.5466,-94.059898
USA,35.387798,-80.709099
YNG,41.26070023,-80.67910004
DUT,53.89881,-166.544996
DBQ,42.402,-90.709503
HVN,41.262869,-72.887694
LYH,37.326698,-79.200401
ART,43.991901,-76.021698
FLO,34.1853981,-79.72389984
HHH,32.2244,-80.697502
IPT,41.242126,-76.92245
PGV,35.635535,-77.384262
SBY,38.34049988,-75.51029968
ALW,46.09489822,-118.288002
EAT,47.398899,-120.207001
PUW,46.741601,-117.11163
YKM,46.56819916,-120.5439987
LBF,41.12620163,-100.6839981
LBL,37.0442009,-100.9599991
LWB,37.857914,-80.400438
SHD,38.263802,-78.8964
SLN,38.79100037,-97.65219879
CNY,38.755001,-109.754997
BKG,36.532082,-93.200544
VEL,40.436214,-109.511661
PQI,46.688999,-68.0448
PRC,34.653502,-112.419883
EAR,40.727001,-99.006798
DRT,29.37420082,-100.927002
CYS,41.155701,-104.811997
PAE,47.9063,-122.281998
ATY,44.91400146,-97.15470123
PIR,44.38270187,-100.2860031
BFM,30.62680054,-88.06809998
XWA,48.260863,-103.75116
RIW,43.064201,-108.459999
SHR,44.76919937,-106.9800034
DDC,37.76340103,-99.96559906
DEC,39.83459854,-88.86569977
CDB,55.207871,-162.725029
ALS,37.434898,-105.866997
VCT,28.8526001,-96.91850281
JST,40.31610107,-78.83390045
ILG,39.678699,-75.606499
FOD,42.552624,-94.191237
MCW,43.159801,-93.329716
TBN,37.7416,-92.140701
BIH,37.3731,-118.363998
MGW,39.643305,-79.917598
CLD,33.1283,-117.279999
GUF,30.290501,-87.671799
FMN,36.741199,-108.230003
LAF,40.412875,-86.939363
